First_name,Last_name,DOB,Height,Shooting,Ball_handling,Rebounding,Defense
Anthony,Romero,1944-08-12,186,3,6,10,3
Tony,Burnett,1906-11-07,182,4,10,9,9
Robin,Morrison,2000-12-11,193,3,7,2,1
Sonya,Fowler,1912-02-09,195,5,3,1,2
Jeffrey,Lopez,1964-07-23,169,7,10,2,10
Cynthia,Barajas,1967-06-04,166,5,2,1,3
Trevor,Dixon,1916-06-11,193,3,4,8,2
Leslie,Moore,1905-09-23,192,9,1,4,6
Gabriel,Jones,1915-11-08,193,5,1,6,5
Nathaniel,Johnson,1920-12-05,190,3,1,10,10
Sarah,Gibson,1979-02-25,190,7,10,2,4
Melvin,Nelson,1923-07-14,166,7,10,1,4
Michelle,Johnson,2013-03-12,189,7,4,9,9
James,Shaffer,1983-01-14,174,10,2,6,9
Austin,Mueller,2019-01-10,187,10,4,4,1
Melissa,Haas,1994-02-13,186,1,4,9,3
Catherine,Moore,1962-01-18,192,4,7,8,9
Gregory,Martin,1905-12-19,157,6,5,4,9
Daniel,Smith,1910-02-09,195,3,4,6,3
Amy,Rocha,1911-10-17,188,4,6,7,6
Richard,Thompson,1993-10-20,181,9,9,2,4
Mark,Davis,1983-07-13,189,7,6,4,10
Brent,Miller,1940-12-28,170,10,5,7,5
Jacob,Smith,1945-11-11,156,10,7,1,4
Alexander,Bradford,1984-07-24,157,1,2,1,9
Stacy,Garcia,1932-07-20,176,4,7,1,2
Craig,Taylor,1982-08-31,166,6,9,1,1
Steven,Weeks,2004-07-04,184,9,2,8,5
Justin,Bishop,1974-03-08,164,8,3,7,5
Zachary,Gonzalez,1955-11-24,195,3,4,3,5
Mario,Davis,1907-06-19,166,9,2,6,10
Logan,Andrews,1918-06-13,172,3,7,3,1
Mary,Schultz,2015-06-09,191,6,7,5,4
Kim,Scott,2013-12-02,190,5,8,2,1
David,Kelley,1993-10-05,175,9,4,5,9
David,Richardson,1907-07-30,174,9,5,4,2
Justin,Schaefer,1970-03-31,186,3,5,1,2
Julie,Garza,1945-11-23,190,3,2,9,9
Shannon,Byrd,1908-11-24,190,7,8,8,6
Michael,Cunningham,1990-03-18,182,10,7,1,5
Kelly,Roberson,2004-09-02,180,4,5,9,10
Tyler,Williams,1984-01-10,165,3,2,10,2
Daniel,Reese,2001-03-19,165,9,1,1,2
Victoria,Randall,1969-01-13,180,6,8,7,10
Alicia,Francis,1934-01-15,160,1,1,8,1
Matthew,Hernandez,1946-11-05,190,9,4,1,7
Michael,Green,1940-07-05,186,10,10,2,10
Stacey,Taylor,1932-03-30,173,1,6,6,4
Richard,Ramos,1997-04-13,173,2,6,4,10
William,White,1940-09-25,165,1,5,10,7
Christopher,Hoffman,1942-11-11,159,5,5,7,7
Nicholas,Marks,1947-12-29,187,7,7,5,5
Maria,Brown,1927-01-04,167,9,7,8,10
Stephanie,Diaz,2020-01-15,166,3,2,10,8
Gloria,Taylor,1967-10-02,177,4,1,6,8
Jason,Calderon,1963-04-23,193,5,7,7,10
Timothy,Martinez,1985-04-13,178,6,4,8,6
Arthur,Golden,1921-11-26,158,3,8,8,6
Tanya,Nelson,2012-02-23,179,2,1,8,7
Denise,Ramsey,1910-06-22,185,2,1,6,3
Joshua,Johnson,2008-10-13,174,8,6,4,8
Bob,Jones,1988-02-01,158,9,5,6,8
Mary,Martinez,1979-01-26,189,6,3,1,6
Linda,Richards,1964-07-25,157,7,1,6,2
Christine,Smith,1997-09-07,194,7,2,6,1
Anthony,Taylor,2014-12-21,172,9,9,9,6
Brian,Randall,1997-04-21,165,5,2,6,8
Jeffrey,Sandoval,1996-02-06,168,5,2,2,8
Cory,Owen,1950-11-28,166,9,10,3,3
Shannon,Preston,1914-09-12,171,9,1,4,2
Marilyn,Nelson,1917-10-25,189,2,3,4,1
Todd,Parker,2001-07-13,188,7,1,10,6
Haley,Campbell,2018-12-12,161,1,4,7,1
Caleb,Sullivan,1986-06-10,187,10,2,8,5
Jennifer,Hunt,1921-03-07,191,1,3,7,8
Lisa,Nelson,1982-05-06,163,2,1,8,1
Samuel,Brooks,1932-06-11,156,4,10,8,7
Katherine,Johnson,1970-03-05,174,9,3,5,6
Holly,Colon,1966-03-30,182,4,5,3,5
Sheila,Caldwell,2018-11-30,169,3,2,4,1
William,Morgan,1945-12-10,166,7,10,10,6
Laura,Walker,1943-02-25,167,2,7,7,2
Kimberly,Little,1945-10-16,179,1,8,10,2
Matthew,Gaines,1941-04-23,179,4,5,7,7
Angel,Hall,1942-08-21,191,10,10,4,3
Michelle,Nguyen,1919-05-13,160,2,8,8,1
Erica,White,1918-11-10,174,1,3,6,1
Julie,Martin,1938-01-08,192,6,6,6,6
David,Cameron,1969-02-18,155,9,2,9,4
John,Thomas,1943-10-09,166,6,6,4,2
Danielle,Stuart,2011-05-08,165,8,6,2,10
Emily,Johnson,1999-11-09,170,3,5,5,3
Felicia,Barnes,2017-07-06,175,6,4,8,1
Misty,Rogers,1908-10-12,191,8,2,3,6
Jenna,Vance,1972-12-19,167,7,3,10,6
David,Meyer,1970-10-25,168,10,8,7,1
Heather,Beard,1996-09-04,175,1,8,4,7
Sandra,Rush,1926-04-06,182,4,3,4,3
Kimberly,Crosby,1955-02-16,171,6,3,5,9
Amy,Sampson,1940-09-02,164,10,6,3,1
Heather,Pitts,2008-03-05,164,7,9,1,1
Joanna,Neal,1949-04-30,174,2,3,3,5
Scott,Diaz,2014-12-07,185,6,2,5,6
Michael,Hawkins,1907-07-14,187,5,8,2,4
Ronald,Stout,1958-03-03,186,7,3,9,1
Matthew,Taylor,1963-09-12,180,6,4,5,8
Cindy,Newton,1995-07-20,175,10,5,3,8
Heather,Dougherty,1910-07-23,178,7,10,4,1
Ashley,Gutierrez,1922-08-09,179,7,3,10,3
Dawn,Powers,1962-05-13,186,5,3,5,6
Shannon,Evans,1971-08-27,183,6,2,3,5
Christopher,Wood,1952-09-07,189,2,3,6,1
Karen,Martinez,1946-01-20,194,7,8,7,3
Shannon,Morales,2020-12-28,182,6,8,5,2
Chris,Fox,1926-01-01,195,2,6,5,2
